brand,model,model_raw,year,price_thb,mileage_km,color,gear_type,location,lot_num,grade,engine,type,date,sold_amount,num_bids,num_hall_bids,num_internet_bids,min_bid,max_bid,source,channel,model_clean,series,trim,has_price,has_mileage,has_brand,has_model,has_year,ok_for_pricing,brand_norm,model_norm,model_raw_norm,series_auto,match_text,trim_auto,trim_guess
TOYOTA,HILUX REVO,,2020.0,339000.0,50688.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,HILUX REVO,,,True,True,True,True,True,True,TOYOTA,HILUX REVO,,HILUX REVO,HILUX REVO HILUX REVO,,
TOYOTA,YARIS CROSS,,2025.0,799000.0,2000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,YARIS CROSS,,,True,True,True,True,True,True,TOYOTA,YARIS CROSS,,YARIS,YARIS CROSS YARIS CROSS,CROSS CROSS,Cross Cross
FORD,RANGER,,2015.0,239000.0,280752.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,RANGER,,,True,True,True,True,True,True,FORD,RANGER,,RANGER,RANGER RANGER,,
MG,VS HEV,,2023.0,539000.0,18000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,VS HEV,,,True,True,True,True,True,True,MG,VS HEV,,,VS HEV VS HEV,,
FORD,EVEREST,,2023.0,1359000.0,61000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,EVEREST,,,True,True,True,True,True,True,FORD,EVEREST,,EVEREST,EVEREST EVEREST,,
NISSAN,TIIDA,,2010.0,129000.0,183000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,TIIDA,,,True,True,True,True,True,True,NISSAN,TIIDA,,TIIDA,TIIDA TIIDA,,
TOYOTA,HILUX CHAMP,,2024.0,499000.0,9600.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,HILUX CHAMP,,,True,True,True,True,True,True,TOYOTA,HILUX CHAMP,,,HILUX CHAMP HILUX CHAMP,,
MG,3,,2016.0,129000.0,44000.0,เหลือง,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,3,,,True,True,True,True,True,True,MG,3,,,3 3,,
HONDA,ACCORD,,2019.0,579000.0,58000.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,ACCORD,,,True,True,True,True,True,True,HONDA,ACCORD,,ACCORD,ACCORD ACCORD,,
FORD,EVEREST,,2019.0,789000.0,128000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,EVEREST,,,True,True,True,True,True,True,FORD,EVEREST,,EVEREST,EVEREST EVEREST,,
BMW,X1,,2021.0,1229000.0,77000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,X1,,,True,True,True,True,True,True,BMW,X1,,X1,X1 X1,,
HONDA,CITY,,2023.0,509000.0,54000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CITY,,,True,True,True,True,True,True,HONDA,CITY,,CITY,CITY CITY,,
HONDA,FREED,,2015.0,439000.0,72000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,FREED,,,True,True,True,True,True,True,HONDA,FREED,,FREED,FREED FREED,,
FORD,EVEREST,,2018.0,679000.0,199500.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,EVEREST,,,True,True,True,True,True,True,FORD,EVEREST,,EVEREST,EVEREST EVEREST,,
BMW,X3,,2019.0,999000.0,240000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,X3,,,True,True,True,True,True,True,BMW,X3,,X3,X3 X3,,
TOYOTA,COROLLA CROSS,,2022.0,888000.0,63000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,COROLLA CROSS,,,True,True,True,True,True,True,TOYOTA,COROLLA CROSS,,COROLLA,COROLLA CROSS COROLLA CROSS,CROSS CROSS,Cross Cross
TOYOTA,COROLLA CROSS,,2022.0,699000.0,57688.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,COROLLA CROSS,,,True,True,True,True,True,True,TOYOTA,COROLLA CROSS,,COROLLA,COROLLA CROSS COROLLA CROSS,CROSS CROSS,Cross Cross
NISSAN,SYLPHY,,2014.0,219000.0,150000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,SYLPHY,,,True,True,True,True,True,True,NISSAN,SYLPHY,,SYLPHY,SYLPHY SYLPHY,,
TOYOTA,CAMRY,,2011.0,259000.0,147000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CAMRY,,,True,True,True,True,True,True,TOYOTA,CAMRY,,CAMRY,CAMRY CAMRY,,
HONDA,CITY,,2010.0,199000.0,250733.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CITY,,,True,True,True,True,True,True,HONDA,CITY,,CITY,CITY CITY,,
