Make, Model, Sub model, year, tranmission, Buyout price, Previous Bid, Current Bid
TOYOTA,CAMRY,CAMRY 2.0 G Extremo (MY12),2013,-,1359000,230000,255500
TOYOTA,CAMRY,CAMRY 2.5 G (MY12),2013,-,1509000,229000,254500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (DVD/Navigator) (MY12),2013,AT,1879000,266500,296000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (MY12),2013,AT,1659000,196000,247000
TOYOTA,C-HR,C-HR 1.8 GR Sport Hybrid,2022,-,1199000,567500,620500
TOYOTA,COMMUTER,COMMUTER 2.8 (HRF),2022,-,1299000,806000,864500
TOYOTA,COMMUTER,COMMUTER 2.8 (HRf) Man,2022,-,1269000,788000,846000
TOYOTA,COMMUTER,COMMUTER 2.8 (HRF),2021,-,1299000,755500,811500
TOYOTA,COMMUTER,COMMUTER 2.8 (HRf) Man,2021,-,1269000,738000,792500
TOYOTA,COMMUTER,COMMUTER 2.8 (HRF),2020,-,1299000,700000,753000
TOYOTA,COMMUTER,COMMUTER 2.8 (HRf) Man,2020,-,1269000,686000,739000
TOYOTA,COMMUTER,COMMUTER 2.8 (HRF),2019,-,1299000,664500,717500
TOYOTA,COMMUTER,COMMUTER 2.8 (HRf) Man,2019,-,1269000,658000,711000
TOYOTA,COMMUTER,COMMUTER 3.0 (HRF),2019,-,1257000,595000,648500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRf) Man,2019,-,1221000,575500,628500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRF) (SRS) (MNC),2018,-,1257000,583000,636000
TOYOTA,COMMUTER,COMMUTER 3.0 (HRF) (SRS) (MNC) Man,2018,-,1221000,565500,618500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRF) (SRS) (MY14),2018,MT,1244000,564000,582000
TOYOTA,COMMUTER,COMMUTER 3.0 (HRf) Man,2018,-,1208000,499000,551000
TOYOTA,COMMUTER,COMMUTER 3.0 (HRF) (SRS) (MY14),2017,MT,1244000,320000,563000
TOYOTA,COMMUTER,COMMUTER 3.0 (HRf) Man,2017,MT,1208000,476500,527500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRF) (SRS),2016,-,1244000,463500,514000
TOYOTA,COMMUTER,COMMUTER 3.0 (HRf) Man,2016,-,1208000,446500,496500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRF) (SRS),2015,-,1244000,432500,480500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRf) Man,2015,MT,1208000,399000,443500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRF) (SRS),2014,-,1244000,401000,445500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRf) Man,2014,MT,1208000,380500,422500
TOYOTA,COMMUTER,COMMUTER 2.5 (HRf) Man,2013,MT,1158000,308000,378500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRf) Man,2013,-,1193000,370500,411500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 G (MY21),2022,-,879000,444500,494000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 GR Sport (MY21),2022,-,1009000,517500,570000
